ID,Risk_Status,Profession,Age,Reg_ID,Reg_Year,Reg_Date,Withdraw,Letter_DDL,Priority,Name,Email,Phone,Birthday
21,1,2,1,0,2021,103,0,-1,2121103,Aileen,Aileen_Graham7964@grannar.com,8-541-033-2883,10/3/8070
22,0,6,4,0,2021,103,0,-1,6421103,George,George_Oswald5982@cispeto.com,8-576-752-5313,8/1/1636
23,1,3,4,0,2021,103,0,-1,3421103,Chris,Chris_Robinson2803@nanoff.biz,1-821-168-3082,8/3/4756
24,2,6,2,0,2021,103,0,-1,6221103,Mavis,Mavis_Daniells4921@tonsy.org,2-261-830-4264,5/13/8311
25,0,7,0,0,2021,103,0,-1,7021103,Tess,Tess_Verdon8287@brety.org,8-356-023-2407,11/19/8096
26,3,5,1,0,2021,103,0,-1,5121103,Roger,Roger_Harrison8988@mafthy.com,2-677-764-2481,9/25/5249
27,1,1,2,0,2021,103,0,-1,1221103,Alexa,Alexa_Lakey5882@eirey.tech,3-370-805-1483,3/11/2824
28,2,5,2,0,2021,103,0,-1,5221103,Mason,Mason_Baker9354@muall.tech,1-147-253-5154,1/25/3928
29,1,7,0,0,2021,103,0,-1,7021103,Kimberly,Kimberly_Rees5888@bauros.biz,6-565-245-3427,3/12/7910
30,2,6,0,0,2021,103,0,-1,6021103,Aurelia,Aurelia_Forth9891@sveldo.biz,2-775-817-8460,8/25/7500
31,0,0,6,0,2021,103,0,-1,621103,Benjamin,Benjamin_Lloyd9428@cispeto.com,1-110-066-5552,11/21/4865
32,1,7,1,0,2021,103,0,-1,7121103,Fred,Fred_Ross9159@hourpy.biz,3-478-134-6824,6/16/7807
33,0,3,1,0,2021,1,0,-1,3121001,Aiden,Aiden_Hunt9863@dionrab.com,6-506-217-8235,9/1/6335
34,0,4,4,0,2021,103,0,-1,4421103,Mina,Mina_Myatt3570@sheye.org,1-462-853-5462,3/9/5830
35,2,4,3,0,2021,103,0,-1,4321103,Payton,Payton_Furnell8894@supunk.biz,8-028-256-0224,1/10/7993
36,0,0,1,0,2021,103,0,-1,121103,Faith,Faith_Clayton8225@twipet.com,0-777-066-8522,6/15/9709
37,0,1,2,0,2021,103,0,-1,1221103,John,John_Trent2676@extex.org,4-758-068-0188,8/17/4080
38,2,4,1,0,2021,103,0,-1,4121103,Elijah,Elijah_Farmer4036@iatim.tech,6-202-470-3582,7/14/3120
39,1,1,5,0,2021,103,0,-1,1521103,Camellia,Camellia_Jefferson1689@nanoff.biz,1-746-407-4381,12/22/7634
40,3,4,5,0,2021,103,0,-1,4521103,Benjamin,Benjamin_Trent3759@brety.org,5-378-201-7070,7/4/7033
14,2,6,3,0,2021,103,1,-1,6321103,Hazel,Hazel_Clarke41@muall.tech,4-670-140-8102,5/21/4620
27,1,1,2,0,2021,103,1,-1,1221103,Alexa,Alexa_Lakey5882@eirey.tech,3-370-805-1483,3/11/2824
33,0,3,1,0,2021,1,0,-1,3121001,Aiden,Aiden_Hunt9863@dionrab.com,6-506-217-8235,9/1/6335
3,1,1,6,0,2021,103,0,1,1621103,Matt,Matt_Blythe7260@nimogy.biz,8-334-518-5341,2/6/4093
